حجم,ارزش(ریال),بالاترین(ریال),پایین ترین(ریال),آخرین(ریال),اولین(ریال),موقعیتهای باز,درصد تغییر,تعداد مشتریان فعال,تعداد کارگزاران فعال,تعداد خریداران,تعداد فروشندگان,قیمت تسویه (ریال),درصد تغییر قیمت تسویه,تاریخ,تاریخ اعمال,#!ارزش معاملات مشتریان حقیقی(خرید)(ریال),#!ارزش معاملات مشتریان حقیقی(فروش)(ریال),ContractType,StrikePrice,Profitability,ContractDurationDays
0,0,0,0,0,0,39,0,21,7,0,0,4900000,0.0,1398/01/15,1398/02/16,0,0,C,46000000,1,32
11,54040000,5500000,4700000,4890000,5500000,40,0,22,10,5,1,4912727,18.12,1398/01/15,1398/02/16,54040000,54040000,C,44000000,1,32
14,34763400,2899400,2300000,2300400,2899400,352,-6,51,11,8,3,2483100,8.62,1398/01/15,1398/02/16,34763400,34763400,C,48000000,1,32
0,0,0,0,0,0,17,0,13,4,0,0,1145568,0.0,1398/01/15,1398/02/16,0,0,P,44000000,0,32
0,0,0,0,0,0,5,0,5,3,0,0,1573415,8.38,1398/01/15,1398/02/16,0,0,P,46000000,0,32
1,1900000,1900000,1900000,1900000,1900000,55,1,18,6,1,1,1900000,3.8,1398/01/15,1398/02/16,1900000,1900000,P,48000000,0,32
15,63550000,4790000,3700000,4790000,4100000,39,0,22,7,8,5,4236667,13.54,1398/01/17,1398/02/16,63550000,63550000,C,46000000,1,30
17,96909000,6200000,5200000,6200000,5200000,40,0,21,10,5,8,5700529,16.04,1398/01/17,1398/02/16,96909000,96909000,C,44000000,1,30
142,340744900,3000000,2199900,3000000,2200000,469,117,56,13,16,14,2399612,3.36,1398/01/17,1398/02/16,340744900,340744900,C,48000000,1,30
7,2430100,400000,300100,310000,400000,19,2,12,4,2,2,347157,69.7,1398/01/17,1398/02/16,2430100,2430100,P,44000000,0,30
0,0,0,0,0,0,5,0,5,3,0,0,1320057,16.1,1398/01/17,1398/02/16,0,0,P,46000000,0,30
