Date,Open,Low,High,Close,Change,ChangePercent
1397/01/14,17310000,17290000,17460000,17360000,70000.0,0.4
1397/01/15,17390000,17390000,17490000,17490000,130000.0,0.75
1397/01/16,17390000,17390000,17390000,17390000,100000.0,0.58
1397/01/17,17560000,17550000,17910000,17830000,440000.0,2.53
1397/01/18,18050000,18050000,19560000,19300000,1470000.0,8.24
1397/01/19,19400000,19360000,20000000,19550000,250000.0,1.3
1397/01/20,18500000,17450000,18510000,17700000,1850000.0,10.45
1397/01/21,17410000,17210000,17910000,17910000,210000.0,1.19
1397/01/22,17930000,17760000,17930000,17850000,60000.0,0.34
1397/01/23,17850000,17850000,17850000,17850000,,
1397/01/25,17800000,17780000,17860000,17810000,40000.0,0.22
1397/01/26,17830000,17830000,18560000,18560000,750000.0,4.21
1397/01/27,18530000,17950000,18710000,17970000,590000.0,3.28
1397/01/28,18060000,18050000,18400000,18400000,430000.0,2.39
1397/01/29,18410000,18290000,18450000,18290000,110000.0,0.6
1397/01/30,18290000,18290000,18290000,18290000,,
1397/01/31,18250000,18250000,18400000,18350000,60000.0,0.33
1397/02/01,18300000,18200000,18350000,18200000,150000.0,0.82
1397/02/02,18190000,17700000,18190000,17700000,500000.0,2.82
1397/02/03,17850000,17600000,17850000,17600000,100000.0,0.57
1397/02/04,17700000,17470000,17750000,17470000,130000.0,0.74
1397/02/05,17600000,17600000,17670000,17670000,200000.0,1.14
1397/02/06,17670000,17670000,17670000,17670000,,
1397/02/07,17700000,17700000,18020000,18000000,330000.0,1.87
1397/02/08,18050000,17950000,18450000,18450000,450000.0,2.5
1397/02/09,18490000,18490000,18700000,18550000,100000.0,0.54
1397/02/10,18800000,18350000,19250000,19000000,450000.0,2.43
1397/02/11,19080000,19080000,19080000,19080000,80000.0,0.42
1397/02/12,19230000,19230000,19800000,19600000,520000.0,2.73
1397/02/13,19660000,19660000,19660000,19660000,60000.0,0.31
1397/02/14,19820000,19820000,21220000,20475000,815000.0,4.15
1397/02/15,20470000,19945000,21045000,20370000,105000.0,0.52
1397/02/16,20245000,18780000,20245000,18980000,1390000.0,7.32
1397/02/17,19400000,19400000,20600000,20020000,1040000.0,5.48
1397/02/18,20105000,19890000,20690000,20190000,170000.0,0.85
1397/02/19,20260000,20260000,21030000,21030000,840000.0,4.16
1397/02/20,21060000,21060000,21060000,21060000,30000.0,0.14
1397/02/21,21155000,20080000,21180000,20580000,480000.0,2.33
1397/02/22,20405000,19640000,20405000,19790000,790000.0,3.99
1397/02/23,19665000,18790000,19665000,19040000,750000.0,3.94
1397/02/24,19050000,18700000,19150000,19050000,10000.0,0.05
1397/02/25,19175000,19175000,19450000,19380000,330000.0,1.73
1397/02/26,19465000,19465000,19750000,19750000,370000.0,1.91
1397/02/27,19760000,19760000,19760000,19760000,10000.0,0.05
1397/02/28,19745000,19360000,19770000,19360000,400000.0,2.07
1397/02/29,19320000,19130000,19635000,19560000,200000.0,1.03
1397/02/30,19535000,19510000,20060000,19960000,400000.0,2.04
1397/02/31,19975000,19975000,20340000,20130000,170000.0,0.85
1397/03/01,20090000,19945000,20170000,20070000,60000.0,0.3
1397/03/02,20080000,20080000,20360000,20360000,290000.0,1.44
1397/03/03,20220000,20220000,20220000,20220000,140000.0,0.69
1397/03/04,20310000,20205000,20310000,20310000,90000.0,0.45
1397/03/05,20325000,20325000,20488000,20450000,140000.0,0.69
1397/03/06,20540000,20460000,20810000,20775000,325000.0,1.59
1397/03/07,20950000,20950000,21475000,21450000,675000.0,3.25
1397/03/08,21525000,21350000,21850000,21495000,45000.0,0.21
1397/03/09,21520000,21420000,21615000,21550000,55000.0,0.26
1397/03/10,21560000,21560000,21560000,21560000,10000.0,0.05
1397/03/11,21485000,21170000,21485000,21380000,180000.0,0.84
1397/03/12,21350000,21320000,21770000,21745000,365000.0,1.71
1397/03/13,21760000,21760000,21760000,21760000,15000.0,0.07
1397/03/14,21950000,21950000,22210000,22210000,450000.0,2.07
1397/03/15,22190000,22100000,22200000,22150000,60000.0,0.27
